,source_sentence,label,human,time,location
46,"From late 1997 until early 1999, she worked as an entertainment reporter for WGN-TV in Chicago.",career,she,late 1997,Chicago
47,"In 1757 at Tiverton he married Margaret Newton (died 1803), second daughter and co-heiress of John Newton of Tiverton.",death,John Newton,1803,Tiverton
48,His family came to Brisbane in 1874 and he attended the Kangaroo Point State School and began his work life as a telegraph messenger.,career,he,1874,Kangaroo Point State School
49,"first wife, Eva Eriksson, whom he married August 15, 1882, died August 3, 1892 of cholera in Tabris, Persia.",death,Eva Eriksson,"August 15, 1882",Tabris
50,"Bedford died in 1972, prior to his death he marked his own grave in Gangawaraliya Estate.",death,he,1972,Gangawaraliya Estate
51,"In 1902 Vincent and his young bride returned to England, where he took up the Rectorship of the parish of Clapham, remaining there until 1906.But",career,Vincent,1902,England
52,"After finishing the school in 1950 he performed in Tbilisi""s Griboedov Russian Drama Theatre, in 1956 in Kiev""s Lesya Ukrainka National Academic Theater of Russian Drama.",performance,he,1950,Tbilisi
53,"He later married Lois Girard, had three children, and moved to California to work in the airline industry.  He died in 1966.",death,He,1966,California
54,"On 2 February 1997, Leyton died in Corona del Mar, California.",death,Leyton,2 February 1997,California
55,She matriculated at the University of Edinburgh in 1925.,education,She,1925,University of Edinburgh
56,"In the 1860s, Pool moved to Virginia.",movement,Pool,the 1860s,Virginia
57,He went on to earn a Ph.D. in political science from Harvard in 1968.,education,He,1968,Harvard
58,He moved to Vienna in 1924 where he joined the Kolisch Quartet.,settlement,He,1924,Vienna
59,In June 2018 she was awarded an Honorary Doctorate of Humane Letters from Savannah College of Art & Design.,education,she,June 2018,Savannah College of Art & Design
60,"When he returned to Amsterdam in June 1945 he was given Anne""s diaries by Miep Gies (who had saved parts of them, just like the younger secretary Bep Voskuijl), which he published in 1947 as a remembrance to her.",meet,Miep Gies,1947,Amsterdam
61,"Farrakhan visited Turkey at invitation on February 18, 1996 and met with the country""s leading Islamist political figure, Necmettin Erbakan, and his Welfare Party""s officials.",meet,Farrakhan,"February 18, 1996",Turkey
62,"In 1981, she moved to WABC-TV in New York City.",movement,she,1981,New York City
63,Bormann returned with Hitler to the Führerbunker in Berlin on 16 January 1945 as the Red Army approached the city.,movement,Hitler,16 January 1945,Führerbunker
64,"Guthrie was born in Pittsburgh, Pennsylvania, in 1969, where he attended Franklin Regional and Taylor Allderdice High Schools.",birth,he,1969,Pittsburgh
65,"In 1953, he earned a law degree from Southern University.",education,he,1953,Southern University
66,"That year, Su Jun marched south from Linhuai to join Emperor Ming of Jin""s loyalist coalition against the rebel Wang Dun.",military,Su Jun,That year,Linhuai
67,"In 1988, Brown became an investigator of the Howard Hughes Medical Institute and an assistant professor in the Department of Biochemistry at Stanford University School of Medicine, where he continued to investigate retroviral replication.",career,he,1988,Howard Hughes Medical Institute
68,"In April 1946, Lammers was a defense witness at the trial before the International Military Tribunal in Nuremberg.",justice,Lammers,April 1946,Nuremberg
69,"Nothing more than a third-string player for the club, Sánchez would be loaned from 2004 to 2006, spending two seasons in the Segunda División with Polideportivo Ejido and UD Almería, both in Andalusia, where he also featured very rarely.",competition,Sánchez,2004 to 2006,Andalusia
70,"The defender was one of the first Italian to play in Eastern Europe, specifically in Russia with Uralan Elista in 2003.",competition,Uralan Elista,2003,Russia
71,"In January 1935 he was appointed to the Prussian Provincial Council for Hesse-Nassau, serving through the end of the Nazi regime in 1945.On 1 July 1937, when he relinquished his position as Second Bürgermeister of Frankfurt, Linder was again appointed Deputy Gauleiter of Gau Hesse-Nassau.",career,Linder,1 July 1937,Frankfurt
72,"He married Lucy Gazzam of Seattle, Washington in Mobile, Alabama in 1898 and had five children.",marriage,He,1898,Seattle
73,"In 1994, Bey ran unsuccessfully for mayor of Oakland, California.",campaign,Bey,1994,Oakland
74,"Cohen graduated from Brandeis University in 1964, where he majored in history.",education,Cohen,1964,Brandeis University
75,"After being released, James moved to California, where he started a variety of rock and funk groups in the late 1960s and early 1970s.",start org,he,late 1960s,California
76,John Béchervaise returned to the Antarctic on MV Nanok S on her first trip south with ANARE in the summer of 1979–80 which also carried a large contingent of naval personnel.,movement,John Béchervaise,the summer of 1979–80 which also carried,Antarctic
77,"He sailed back to France that summer, to marry his first wife, Madeleine, whom he had met in Iowa, where she was also on a Fulbright; they settled in Herbert Street, Dublin, a few doors down from Brendan Behan.",marriage,Madeleine,that summer,France
78,"It subsequently toured to Glasgow and Sorley""s birthplace, Aberdeen, in 2018.",performance,Sorley,2018,Glasgow
79,"Fico first served as an ambassador to Turkey and Bulgaria in the late 1920s, before his time as Foreign Minister of Albania.",career,Fico,the late 1920s,Turkey
80,"He died in 1918, and is buried in Bayview Cemetery in Bellingham, Washington.",death,He,1918,Bellingham
81,"He fled Germany in 1933, first to Prague.",movement,He,1933,Germany
82,"Prior to settling in Litchfield, Burr lived in nearby Gardiner, Maine, where he served on the town""s school board from 1809 to 1810.
Burr was the youngest of twelve children by his parents Jonathan Burr and Martha (Cudworth) Burr.",career,he,1809 to 1810,Gardiner
83,"Aníbal Velásquez was born in 1936 in Barranquilla, Colombia to parents José Antonio Velásquez and Belén Hurtado, and is the brother of the musician José ""Cheíto"" Velásquez.",give birth,José Antonio Velásquez,1936,Barranquilla
84,"Macclesfield spent the next three years in Germany and the Netherlands, returning to England in the revolution of 1688.",settlement,Macclesfield,three years,Germany
85,"The family moved to Salem, Oregon around 1912 where William worked various jobs including janitor, laborer, and farmer and by 1921 he was a shopkeeper on State Street.",career,William,1912,Salem
86,"In 1946, he also helped in leading the formation of the second/third Penang Clerical Union
Cheah died on 16 November 1948, aged 77, in his home, at Leith Street, Penang.",death,Cheah,16 November 1948,Penang
87,By 1936 they had moved to the Bawdsey Manor Research Centre (on the North Sea coast) and had already begun plans for deployment of the CH system.,movement,they,1936,Bawdsey Manor Research Centre
88,"Leach was on the Classical Jury of the American Academy in Rome (1980–82), a Resident Scholar there (Fall 1983), and later conducted 3 NEH summer seminars there (1986, 1989, 2008).",career,Leach,Fall 1983,Rome
89,"In 1768, in order to commemorate his great victories achieved against the Rao of Kutch, Ghulam Shah built a new capital which he named Hyderabad (in honour of Imam Ali whose birth name was Haider meaning Lion).",creation,Ghulam Shah,1768,Kutch
90,"Bean was born in Westby, Wisconsin on January 5, 1987.",birth,Bean,"January 5, 1987",Westby
91,After spending Christmas with her family in Xolobe she left for Johannesburg in January 1940.,movement,she,Christmas,Xolobe
92,After leaving Cambridge in 1663 he spent some time travelling both in Britain and the continent.,movement,he,1663,Cambridge
93,"In 1477, the Yatenga emperor Nasséré makes yet another Mossi raid into Macina, this time conquering it and the old province of BaGhana (Wagadou).",military,Nasséré,1477,Macina
94,Thomas W. came to the Rondout area in 1822 and opened a general store in New Salem.,start org,Thomas W.,1822,Rondout
95,"She attended the Third International Socialist Women""s Conference held at Berne March 26–28, 1915, where she encountered Lenin""s manipulation of the Bolshevik Women""s delegation and took a dislike to Karl Radek who was acting as Lenin""s aid.",assembly,She,"March 26–28, 1915",Berne
96,"In 2010 Journal Globus proclaimed her as one of the leaders of Croatian film (together with Daria Lorenci, Zrinka Cvitešić, Leona Paraminski, Nataša Janjić and Jadranka Đokić).At 61st International Film Festival in Berlin, she was officially awarded this recognition.",assembly,Zrinka Cvitešić,2010,Berlin
97,He was elected as a member of Kerala Legislative Assembly from Manjeshwaram on 24 October 2019.,career,He,24 October 2019,Manjeshwaram
98,"They moved to Monaco in 1945 where she died, leaving her Australian assets, valued at around £240,000, to the University of Melbourne.",movement,she,1945,Monaco
99,"In May 2010, Rinzin Dorji went to New York on invitation from Ynaar to qualify for the New York City Marathon, which he succeeded.",competition,Rinzin Dorji,May 2010,New York
100,"A few months after de la Huerta""s death, Alvarado was ambushed while fleeing from Obregón""s force at El Hormiguero ranchero, between Tenosique, Tabasco and Palenque, Chiapas and was killed on 10 June 1924.",death,Alvarado,10 June 1924,Tenosique
101,"According to contemporary press accounts, Fleetwood did not find travel to Washington and back and the routine of a representative to his liking, and he announced in May 1924 that he would not be a candidate for renomination.",career,Fleetwood,May 1924,Washington
102,"Born in Kalundborg, Rørup studied at the Royal Danish Academy of Fine Arts under Ejnar Nielsen and Sigurd Wandel, graduating in 1930.",education,Rørup,1930,Kalundborg
103,"When she was 18, she entered the Royal Danish Academy of Music, studying under the tenor Thyge Thygesen.",education,Thyge Thygesen,18,Royal Danish Academy of Music
104,"He had married in 1838 Elizabeth Selina, daughter of Hugh Kennedy of Cultra, co. Down.",marriage,Hugh Kennedy,1838,"Cultra, co. Down"
105,"Poole was born on 16 August 1885 in Easebourne, Sussex, England, the youngest son of Stanley Lane-Poole, an Egyptologist, and his wife Charlotte.",give birth,Charlotte,16 August 1885,Easebourne
106,"She graduated as cand.sociol. from the University of Oslo in 1994, and worked as a research assistant at the Norwegian Institute for Social Research from 1994 to 1995.In 2005",career,She,1994,University of Oslo
107,"In 1912, he immigrated to the United States.",movement,he,1912,United States
108,She attended North London Collegiate School from 1909 to 1913.,education,She,1909,North London Collegiate School
109,"Maude Crabbe was born on 19 December 1855 at sea aboard the ship Morning Star in the Indian Ocean approximately 2,500 kilometers south west of Western Australia.",birth,Maude Crabbe,19 December 1855,Indian Ocean
110,"He was drafted by the Philadelphia Phillies in the 40th round of the 2012 Major League Baseball draft, but did not sign and instead enrolled at the University of Florida, where he majored in criminology.",education,he,2012,University of Florida
111,"It is inscribed thus : 
""Here lie interred the heads of Laur Hay : and Andrew Pitulloch, who suffered martyrdom at Edinburgh, July 13th, 1681, for adhering to the word of God, and Scotland""s covenanted work of reformation ; and also one of the hands of David Hackston, of Rathillet, who was most cruelly martyred at Edinburgh, July 30th, 1680. 
Our persecutors filled with rage, 
Their brutish fury to assuage, 
Took heads and hands of martyrs off,  
That they might be the people""s scoff.",death,Andrew Pitulloch,"July 13th, 1681",Edinburgh
112,"After an intership in a bank in Wil, canton of St. Gallen, she earned a business teaching diploma in 1937 and a doctor""s degree in economics in 1943 thanks to a thesis about the industry in Sarganserland.",education,she,1937,Sarganserland
113,"He attended and graduated from West Virginia University Perley Isaac Reed School of Journalism in 1982 and obtained a Master""s in Management in 1991 from The Pennsylvania State University.",education,He,1982,West Virginia University
114,"In September 2014, Azotam signed his first professional contract with Marín Peixegalego of the LEB Plata, the second-best basketball league in Spain behind the ACB.",career,Azotam,September 2014,Spain
115,"Thierry competed in the 1996 Summer Paralympics in  Atlanta where he won a gold medal in the F42 shot put as well as competing in the pentathlon, discus and javelin.",competition,he,1996,Atlanta
116,"When Chad was made Bishop of Mercia in 669, he moved his see from Repton to Lichfield, possibly because this was already a holy site, as the scene of martyrdoms during the Roman period.",career,Chad,669,Mercia
117,"After moving to Toronto in 1973, Sally Clark served as playwright/dramaturge for Theatre Passe Muraille, the Shaw Festival, Nakai Theatre, Buddies in Bad Times Theatre and Nightwood Theatre.",career,Sally Clark,1973,Toronto
118,"He was four times Master of the Mercers"" Company, and Lord Mayor of London in 1572.He was born in 1511 to William Duckett of Flintham, Nottinghamshire and his wife Jane (née Redman), of Harwood Castle, Yorkshire.",give birth,William Duckett,1511,Flintham
119,In 2017 Roger Schmidt brought Kitzbichler to Beijing.,movement,Kitzbichler,2017,Beijing
120,"Hillel Rapoport received his Ph.D in economics from the University of Paris II in 1993, followed by a habilitation at the University of Versailles.",education,Hillel Rapoport,1993,University of Paris II
121,Pisarenko performed regularly at the Komische Oper Berlin until 1976.,performance,Pisarenko,1976,Komische Oper Berlin
122,"Later in April, she went to Yüksekova, Hakkâri, and prepared an onsite field report about the events that were happening in the area.",movement,she,April,Yüksekova
123,"At the age of 16, he was taken to Toronto by Harold ""Touch"" Wood, who assured him a professional contract at the end of his first year in college.",movement,"Harold ""Touch"" Wood",the age of 16,Toronto
124,Mikazuki received the Order of Culture award in Tokyo on 7 November 2007.,assembly,Mikazuki,7 November 2007,Tokyo
125,"Randall was born in Toronto, Ontario in 1944.",birth,Randall,1944,Toronto
126,"In 1991, she graduated from Hunterdon Central Regional High School.",education,she,1991,Hunterdon Central Regional High School
127,"From 1929, Leppien studied at the Bauhaus Dessau with Josef Albers, Wassily Kandinsky and Paul Klee.",education,Wassily Kandinsky,From 1929,Bauhaus Dessau
128,"Prince also coached the Louisiana Industrial baseball team in 1910, tallying a mark of 14–4.With the United States engaged in World War I, Prince left coaching to serve as a captain in the 1st Regiment of Infantry with headquarters at Monroe under Colonel Frank P. Stubbs Jr.",career,Prince,1910,Monroe
129,Parker died in Halifax at the age of 85.,death,Parker,the age of 85,Halifax
130,"Other works he has directed at Covent Garden include Birtwhistle""s Gawain in 2000 and Wagner""s Parsifal in 2013.In 2012 Langridge was appointed Artistic Director of the Gothenburg opera house, a post he remained in until the end of the 2018-2019 season.",career,Wagner,2000,Gothenburg
131,"In April 1994, he joined the 3rd Battalion, 75th Ranger Regiment, Fort Benning, Georgia, where he served as a Battalion Training Officer, Assistant Operations Officer, and Rifle Company Commander, and later as a Liaison/Plans Officer with Headquarters and Headquarters Company, 75th Ranger Regiment.",career,he,April 1994,Georgia
132,"Ute Christensen (born 21 December 1955 in Neubrandenburg, East Germany) is a German actress.",birth,Ute Christensen,21 December 1955,Neubrandenburg
133,"Resident in Ipswich, on 8 December 2013, a month after her retirement from tennis, she married her coach Niño Severino, a retired professional tennis coach turned multi-sports specialist in mental and movement training coach, who also works with Ipswich Town F.C. and in coaching martial arts athletes.",settlement,she,8 December 2013,Ipswich Town F.C.
134,"In 1986, he performed in Giants Stadium in New Jersey as part of Amnesty International""s A Conspiracy of Hope concert along with Bono, Carlos Santana, and the Neville Brothers.",performance,Carlos Santana,1986,Giants Stadium
135,"In January 1847, while serving as territorial governor, Bent traveled to his hometown of Taos without military protection.",movement,Bent,January 1847,Taos
136,"She moved to the University of Auckland where she undertook a PhD in chemistry (1966), supervised by Professor (later Sir) Neil Waters.",education,Neil Waters,1966,University of Auckland
137,"Kataoka attended college at Stanford University, where she majored in Art History and graduated in 2000.",education,Kataoka,2000,Stanford University
138,"Persoff attended the Hebrew Technical Institute, graduating in 1937.",education,Persoff,1937,Hebrew Technical Institute
139,"In January 1866, he resumed a legal practice in Chicago, occupying the same office with Perkin Bass, then United States attorney, with whom he was associated in practice.",career,Perkin Bass,January 1866,Chicago
140,"4 October 2021, he died from an illness in Tianjin, aged 90.",death,he,90,Tianjin
141,"Leaman was born on 29 July 1956 in Lynton, Devon, England, to Derek Alan Leaman and Jean Rita Leaman.",birth,Leaman,29 July 1956,Lynton
142,"Gary Klein (born September 28, 1942 in Brooklyn, New York) is an American songwriter and Grammy nominated record producer.",birth,Gary Klein,"September 28, 1942",Brooklyn
143,"Jarrott raced from 1900 to 1904, winning the 1902 Circuit des Ardennes race and competing in the 1903 and 1904 Gordon Bennett Cup races.  He was the chair of the Motor Cycling Club""s Annual Dinner at the Trocadero on Saturday 12 December 1913.",competition,He,1900 to 1904,Circuit des Ardennes
144,"The next month they flew an Avro Anson on an inspection tour of Darwin, Northern Territory, site of the proposed base.",other,they,The next month,Darwin
145,"Born in Copenhagen, Lockenwitz studied at the Royal Danish Academy of Fine Arts from 1962 to 1967 under Niels Lergaard and Dan Sterup-Hansen.",career,Dan Sterup-Hansen,1962 to 1967,Royal Danish Academy of Fine Arts
146,"officeholderMary Elizabeth Alexander Hanford Dole (née Hanford; born July 29, 1936) is an American attorney, author, and politician
who served as a United States Senator from North Carolina from 2003 to 2009.",birth,Elizabeth Alexander Hanford Dole,"July 29, 1936",United States
147,"Buescher married Krishtian Turner in January 2012, in a ceremony performed in Costa Rica.",marriage,Buescher,January 2012,Costa Rica
148,"He died on the following 9 April, and was buried in Tripoli.",death,He,the following 9 April,Tripoli
149,"description pageant titleholderMaría Genoveva Rivero Giménez is a pageant titleholder, was born in Quíbor, Venezuela in May 15, 1957.",birth,Genoveva Rivero Giménez,"May 15, 1957",Quíbor
150,"The couple""s engagements meant they were often apart and Emma filed for a divorce at Denver on June 29, 1893.",divorce,they,"June 29, 1893",Denver
151,"Davidson gave up her teaching job to volunteer from May 1915  to help as an orderly then as a nurse to the wounded at the battlefront, in the Scottish Women""s Hospital, at Royaumont, France.",career,Davidson,May 1915,Royaumont
152,"In 1391, Sultan Nasir ud din Muhammad Shah III appointed Zafar Khan, the son of Wajih-ul-Mulk as governor of Gujarat and conferred him the title of Muzaffar Khan.",career,Muzaffar Khan,1391,Gujarat
153,"MacRae is a writer of comedy; she wrote and performed her very own one woman show ‘Leah MacRae: My Big Fat Fabulous Diary’ which she toured around Scotland in 2019, every performance was sold out.",performance,she,2019,Scotland
154,"After a period of study at Ripon College Cuddesdon he was ordained: made deacon at Advent 1897 (19 December) and ordained priest the follow Advent (18 December 1898) – both times by Edward Carr Glyn, Bishop of Peterborough, at Peterborough Cathedral.",career,Edward Carr,18 December 1898,Peterborough
155,"Following the 2015 season, Kline returned to the University of California Berkeley in pursuit of his degree.",education,Kline,the 2015 season,University of California Berkeley
156,"In 1963, Kendall joined the University of Dallas, founding and chairing the Department of Politics and Economics at the University of Dallas.",career,Kendall,1963,University of Dallas
157,"By early November, Red Cloud and his unit had advanced to the Ch""ongch""on River.",military,Red Cloud,early November,"Ch""ongch""on River"
158,"At the age of 12, Lorenzo""s family moved to Utah in the United States and this was the first time she had the opportunity to be involved in music at school.",movement,she,the age of 12,Utah
159,"After her tour with Janitor Joe, however, Pfaff made plans to return to Seattle in order to retrieve the rest of her belongings, making the trip to Seattle on June 14, 1994.",movement,Pfaff,"June 14, 1994",Seattle
160,"He graduated from the State Conservatory (now The Tchaikovsky National Academy of Music) with a degree in violin (1961), followed by a degree in conducting in 1971.",education,He,1961,State Conservatory
161,"Major General Sir Walter de Sausmarez Cayley,  (8 August 1863 – 21 July 1952) was a British Army officer who served in Africa towards the end of the 19th century, and later in Mesopotomia and Gallipoli during the First World War.",military,Walter de Sausmarez Cayley,the end of the 19th century,Africa
162,"Trapp accepted an athletic scholarship to attend the University of Florida in Gainesville, Florida, where he played for coach Ray Graves"" Florida Gators football team from 1965 to 1967.",education,Ray Graves,1965 to 1967,Gainesville
163,"That year, he set sail with a considerable fleet, but a terrible storm scattered it off the coast of Brazil.",movement,he,That year,Brazil
164,"In June 2011, it was announced that Kyrgiakos would get a 12-month contract extension at Anfield after his initial two-year contract expired.",career,Kyrgiakos,June 2011,Anfield
165,"He was the Republican Party nominee for one of North Dakota""s open United States Senate seats in the 1992 election, and was the former CEO of the Endurance International Group in Massachusetts.",career,He,1992,Massachusetts
166,"Carroll performed consistently until 2012, when she fell from the stage during a dress rehearsal at the Virginia Samford Theatre in Birmingham.",accident,Carroll,2012,Birmingham
167,"Christian P. Speer (born 28 August 1952, in Kassel) is a German pediatrician and Professor of Pediatrics specialized in neonatology at the Julius Maximilian University of Würzburg.",birth,Christian P. Speer,28 August 1952,Kassel
168,"Berkowitz resigned as mayor of Anchorage in October 2020 after admitting to being in a ""consensual, inappropriate messaging relationship"" with a reporter.",career,Berkowitz,October 2020,Anchorage
169,"Cobbins was born on August 30, 1984, as Christopher Lee Cobbins, in Kansas City, Missouri.",birth,Christopher Lee Cobbins,"August 30, 1984",Missouri
170,"Trosper was born in Lander, Wyoming on March 27, 1911, the son of Ruth Calista (née Edgcomb) and Charles Alfred Trosper.",give birth,Charles Alfred Trosper,"March 27, 1911",Lander
171,"Francesco Alborea (Naples, 7 March 1691 – Padova, 20 July 1739) was an Italian cellist.",birth,Francesco Alborea,7 March 1691,Naples
172,"Kary Lyndsey Osmond (born October 18, 1979 in Mississauga, Ontario) is a Canadian who hosted Canadian Broadcasting Corporation""s daytime cooking show Best Recipes Ever.",birth,Kary Lyndsey Osmond,"October 18, 1979",Mississauga
173,In 1854 Father Gregory Duggan of Augusta became ill during a yellow fever epidemic.,injure and illness,Gregory Duggan,1854,Augusta
174,He married Mary Helen Young Paterson on 4 November 1896 at Riddells Creek.,marriage,Mary Helen Young Paterson,4 November 1896,Riddells Creek
175,"Koster attended Washington College in Chestertown, Maryland, receiving a bachelor""s degree in English (creative writing) and Spanish in 1992.",education,Koster,1992,Chestertown
176,Dorothy Houston died in Minneapolis in 1985 at the age of 77.,death,Dorothy Houston,1985,Minneapolis
177,"Hitchcock was born in 1943 in Williston Park, New York, a suburb of New York City on Long Island, the daughter of Roy Clinton Hitchcock and Ruth Wardell Hitchcock.",birth,Hitchcock,1943,Williston Park
178,On 23 December 2008 Arouca agreed a five-year deal with São Paulo.,career,Arouca,23 December 2008,São Paulo
179,"Yuille settled south of Black Swamp in the area which was to become part of the gold rush settlement of Ballarat in 1838, and two years later, having sold his station there, went to New Zealand, where he was present at the ceremony of taking possession of those islands for the British Government by Governor Hobson, and the signing of the treaty of Waitangi.",settlement,Yuille,1838,Ballarat
180,"Ismail Amat died on 16 October 2018 in Beijing, at the age of 83.",death,Ismail Amat,16 October 2018,Beijing
181,Bulmer graduated from Cornell University with a BA majoring in anthropology in 1954.,education,Bulmer,1954,Cornell University
182,"Buckingham lived in Honesdale and Hamlin, Wayne County, Pennsylvania as an adult, caring for her mother until her mother died in 1904.",settlement,Buckingham,1904,Honesdale
183,"Hugh MacRae Morton (February 19, 1921 – June 1, 2006) was a photographer and nature conservationist who developed Grandfather Mountain in North Carolina.",creation,Hugh MacRae Morton,"February 19, 1921",Grandfather Mountain
